symbol,close,med_turnover_cr,days
NAUKRI,1261.5,130.8900225,20
MRPL,166.81,130.66790458850002,20
TDPOWERSYS,725.5,130.16862695499998,20
APLAPOLLO,2119.3,129.818440645,20
DMART,3680.0,129.5217584,20
TORNTPHARM,4850.0,129.42717234999998,20
DRREDDY,1145.0,128.76303825,20
NMDC,80.5,128.19640425900002,20
MAZDOCK,2236.0,127.8559358,20
HINDPETRO,345.3,127.6435435875,20
EDELWEISS,127.4,127.41215129300002,20
ZYDUSLIFE,1099.0,127.297070715,20
ASIANPAINT,2402.8,126.22719183999999,20
INDUSINDBK,956.5,126.18154724499999,20
COCHINSHIP,1325.0,124.972625975,20
GESHIP,1390.4,124.842463785,20
VOGL,34.83,122.9036461965,20
MARICO,791.25,122.75825678250001,20
SONACOMS,790.0,121.305520325,20
SIEMENS,3770.0,120.94397135,20
TFCILTD,138.18,120.43141812649998,20
WAAREEENER,2555.0,119.69314548,20
PWL,130.72,119.570830567,20
URBANCO,158.22,118.310418768,20
MAHABANK,79.56,116.73798542200001,20
IDFCFIRSTB,84.8,116.568939852,20
ASTERDM,741.25,116.28627015500001,20
BAJAJFINSV,1855.5,116.17150050000001,20
GODREJPROP,1659.3,114.24486636,20
AUROPHARMA,1660.0,113.90698325,20
GLENMARK,2371.7,113.869312065,20
ICICIAMC,3065.0,113.82918083000001,20
CIPLA,1351.0,112.53593878,20
AUBANK,1028.0,112.11347297,20
SYRMA,1507.7,111.70541939,20
LTF,296.8,111.20598920249999,20
GLAND,2895.5,111.18531253500001,20
BANDHANBNK,172.45,110.06739605300001,20
YESBANK,23.07,109.796768969,20
TATSILV,21.78,109.389085452,20
MANIPALHOS,701.7,108.32398872499999,20
GAIL,170.88,108.2513828065,20
GODREJCP,857.0,107.963728035,20
FCL,53.88,106.991852322,20
AZAD,2704.9,106.14378092999999,20
ICICIGI,1427.7,104.610989,20
IDBI,82.95,104.1401792695,20
TATACONSUM,986.1,103.9438953,20
CGCL,255.1,103.73253998550001,20
FORCEMOT,17245.0,103.2058555,20
SHILPAMED,911.9,102.874015535,20
AMBER,7000.0,101.30341480000001,20
FINCABLES,1339.9,101.25833892,20
UPL,560.8,98.364995855,20
ASTRAL,1379.6,97.08419518,20
CARTRADE,3017.1,96.37087020499999,20
CAMS,717.35,96.002752085,20
RADICO,4360.0,95.96059360000001,20
BIOCON,382.0,95.450679025,20
NAVINFLUOR,8228.0,95.416355925,20
RBLBANK,403.6,94.720489375,20
IOC,132.03,94.46498890000001,20
ENRIN,3028.7,94.45799930999999,20
PIDILITIND,1521.1,93.94358923499999,20
ABCAPITAL,378.8,93.65929432,20
RAYMOND,995.95,93.2901484775,20
GMRAIRPORT,92.97,92.630979174,20
BODALCHEM,176.66,92.620285983,12
LGEINDIA,1629.6,91.36195764,20
AEGISLOG,1323.5,91.30612841,20
NEULANDLAB,22595.0,90.821857,20
IOLCP,179.52,90.8013754355,20
TBZ,524.45,90.65629301250002,20
RAIN,196.74,90.227870671,20
VOLTAS,1137.0,90.0792955,20
OIL,485.6,89.877674665,20
JYOTICNC,961.45,89.72801580000001,20
PREMIERENE,945.0,89.432302655,20
ANANTRAJ,585.9,89.3360807375,20
GRSE,2358.8,88.98013412499999,20
JSWENERGY,505.0,88.902377925,20
BALUFORGE,498.2,88.60752427499999,20
ACUTAAS,3266.2,88.351326855,20
MPHASIS,2378.0,88.33086212,20
JINDALSTEL,1095.0,87.90597745000001,20
INDIANB,836.75,86.94671867,20
VIYASH,246.9,86.886925915,20
EXIDEIND,409.2,85.905438675,20
CROMPTON,226.15,84.82416432,20
KIRLOSENG,2041.6,84.681206645,20
VMM,100.1,84.35166172999999,20
