symbol,close,med_turnover_cr,days
HDFCBANK,738.6,2224.75022555,20
BSE,3235.0,1399.28572071,20
RELIANCE,1240.4,1297.11543988,20
ICICIBANK,1339.6,1221.02614812,20
IFCI,75.94,908.4687395290001,20
BHARTIARTL,1817.2,822.8867487,20
INFY,1029.4,802.08056267,20
SBIN,987.0,711.81889185,20
ETERNAL,342.0,692.869578715,20
NETWEB,4817.0,690.463359025,20
ATHERENERG,1543.8,659.2252851149999,20
PINELABS,197.58,593.5545855875,20
TCS,2105.0,592.7846814,20
MCX,3262.6,591.79437018,20
M&M,3044.5,576.1133930999999,20
PAYTM,1814.4,564.07684225,20
TATASTEEL,184.97,563.6130809985,20
AXISBANK,1242.7,557.8775854999999,20
BAJFINANCE,1008.8,533.5363369700001,20
LT,3866.4,513.2514642,20
WELCORP,2731.5,493.985778245,20
DIXON,13084.0,491.147864,20
ADANIENT,2997.0,483.33479328000004,20
LENSKART,691.45,472.945163635,20
SWIGGY,284.05,467.26942879499995,20
GROWW,189.18,465.9783158755,20
DHOOTTRANS,1653.2,465.832581,20
KOTAKBANK,412.65,465.111401125,20
DIVISLAB,9352.0,464.23789855,20
HINDCOPPER,508.2,448.603754065,20
MARUTI,12190.0,438.7102465,20
LAURUSLABS,2006.5,427.4425273,20
SHRIRAMFIN,1006.0,422.90648387500005,20
KALYANKJIL,583.1,407.97383225499993,20
COFORGE,1803.0,391.597234115,20
MVELECTRO,877.35,380.444370895,20
SILVERBEES,220.27,370.34835673,20
KAYNES,3455.0,368.3941412,20
MEESHO,240.19,366.710998146,20
SOLARINDS,19890.0,354.0814605,20
BEL,397.9,345.851721435,20
ADANIPORTS,1795.0,339.052706625,20
ADANIPOWER,206.96,334.2250824625,20
MILKYMIST,302.15,327.01966481399995,20
HAL,4800.0,323.16500814000005,20
RAYMOND,1116.95,318.94000924,20
HINDALCO,973.0,318.40020095,20
APOLLO,406.75,317.5783163175,20
ITC,265.8,314.52491448750004,20
GVT&D,4348.0,308.83900435,20
EICHERMOT,7427.0,307.2899808,20
SAIL,174.01,302.89134516,20
LIQUIDBEES,1000.0,300.7385186575,20
INDIGO,5030.0,299.9828027,20
ESDS,1724.85,299.5817365,13
CUPID,258.2,299.264308,20
VAML,425.35,295.6250461275,20
POLYCAB,8350.0,287.84280315,20
TMCV,440.1,287.39094445499995,20
HINDZINC,590.5,287.34639079,20
TECHM,1551.6,286.29851410000003,20
HCLTECH,1270.4,286.06207593,20
GOLDBEES,125.0,282.25229056,20
LICI,404.55,281.976611695,20
GRASIM,3128.2,277.43536255000004,20
COALINDIA,428.0,277.3042753875,20
HEROMOTOCO,5373.0,276.42477185,20
ULTRACEMCO,11000.0,276.24546035000003,20
KEI,4575.0,276.0842622,20
BHEL,425.8,270.22884371,20
POWERINDIA,31415.0,268.55561750000004,20
VBL,430.0,264.94058486,20
OFSS,10989.0,260.08837625,20
SUNPHARMA,1846.4,258.86441521,20
ONGC,236.13,258.303996495,20
PFC,345.8,257.3357268,20
LALITHAA,336.1,255.62832177500002,20
TVSMOTOR,4140.0,254.63957253,20
ADANIENSOL,1381.7,254.053785585,20
BAJAJ-AUTO,11363.0,250.7628618,20
JIOFIN,230.7,247.0596621875,20
TITAN,4928.5,242.4436476,20
ASHOKLEY,160.75,239.67740321000002,20
LUMINO,108.27,239.632179656,14
NTPC,327.8,237.718234375,20
DATAPATTNS,4484.9,236.09015127,20
WOCKPHARMA,2185.4,228.69364229,20
TMPV,300.05,228.55144754000003,20
APOLLOHOSP,8835.5,226.4782287,20
PERSISTENT,5366.0,224.257599,20
HINDUNILVR,1933.8,219.76864623,20
POWERGRID,265.95,218.3848720825,20
CHOLAFIN,1759.1,214.61275853,20
INDOMIM,1233.3,212.729667205,20
MOREPENLAB,119.04,210.338235153,20
REDINGTON,410.35,207.16191418249997,20
LIQUIDCASE,116.03,207.0405991355,20
CGPOWER,896.1,206.11073686499998,20
HDFCLIFE,559.2,205.31956575,20
ANTELOPUS,1110.4,200.354107485,20
APARINDS,18233.0,199.8752928,20
DLF,669.5,197.0540113175,20
VEDL,263.0,195.338425045,20
CUMMINSIND,4962.5,195.157649925,20
LICHSGFIN,565.0,192.46669088,20
MOLBIO,1263.8,192.26561562,20
CHENNPETRO,1392.0,187.316692675,20
RATNAVEER,332.3,184.067074075,20
OLAELEC,37.78,182.47866394149997,20
SUZLON,43.0,182.339803725,20
HSCL,669.45,181.79157805,20
JSWSTEEL,1267.0,180.9669665,20
LODHA,1144.0,179.72773610000002,20
MAXHEALTH,1056.5,179.63720411,20
POLICYBZR,1805.0,178.46121040000003,20
MUTHOOTFIN,2831.5,172.58694105,20
TRENT,2782.9,169.9703424,20
MOTHERSON,161.77,168.05704944000001,20
ZEEL,78.21,167.93476736,20
BANKBARODA,234.35,167.0908513545,20
DMART,3777.0,166.57746191,20
FINCABLES,1468.1,163.19942596,20
WIPRO,166.0,162.675296855,20
SYRMA,1741.8,160.464802445,20
DRREDDY,1211.0,160.1769348,20
HDFCAMC,2430.0,159.69769882499997,20
INDUSTOWER,382.1,157.22139752,20
SYMBIOTEC,1120.9,156.7091113925,16
PAISALO,93.43,154.63152562800002,20
APLAPOLLO,2195.0,150.26076,20
BHARATFORG,2009.0,149.607371775,20
NIFTYBEES,266.64,148.495530981,20
FEDERALBNK,327.0,148.37554123,20
TEMPSENS,537.1,148.01322083249997,18
NAUKRI,1304.0,146.53854215,20
CDSL,1348.0,145.196484395,20
SBILIFE,1756.3,143.64366506,20
INDUSINDBK,955.0,143.087543625,20
TORNTPHARM,4935.0,141.92634329999998,20
RECLTD,307.1,141.78945918,20
CANBK,122.9,141.083918073,20
LUPIN,2135.0,140.190261035,20
MARICO,830.0,139.38370317,20
ABB,7120.5,138.31590515,20
TDPOWERSYS,756.4,138.16030343,20
IIFL,617.55,138.15220012499998,20
BOSCHLTD,48290.0,138.01965,20
NESTLEIND,1363.9,137.95000257499998,20
TATAPOWER,367.0,137.75245604999998,20
NIACL,187.41,137.12801936850002,20
NYKAA,333.55,137.0963772,20
WAAREEENER,2494.8,136.6812655,20
TEJASNET,516.3,136.4763064925,20
LTM,4158.3,135.9656175,20
NATIONALUM,352.2,135.649833,20
BPCL,313.6,135.3528127675,20
PNB,117.0,134.594901897,20
HYUNDAI,2101.0,134.26633332,20
MAZDOCK,2204.0,133.6106064,20
WABAG,2072.1,131.74858767999999,20
UNIONBANK,178.0,131.202015999,20
BANDHANBNK,184.7,130.455761925,20
GODREJPROP,1699.5,129.47564682,20
ZYDUSLIFE,1162.3,129.31931455,20
ASIANPAINT,2448.5,127.77333666000001,20
NAM-INDIA,1159.0,127.52587605,20
BDL,1168.0,126.75396899999998,20
EDELWEISS,141.16,126.7140219705,20
HINDPETRO,360.7,125.849450825,20
YESBANK,23.2,125.781290068,20
ADANIGREEN,1304.0,125.40165392,20
COCHINSHIP,1388.9,124.534567845,20
RRKABEL,2472.5,124.37358272,20
MAHABANK,82.4,124.33236561999999,20
IDFCFIRSTB,85.37,124.233570827,20
SONACOMS,809.0,124.060105075,20
GESHIP,1462.0,123.98218449500001,20
BRITANNIA,4918.0,123.783456825,20
TFCILTD,140.8,120.43141812649998,20
PARAS,1375.5,120.005604675,20
CIPLA,1384.1,118.628203765,20
SUNSHINE,440.4,117.95496120749999,20
ANGELONE,295.1,117.68299804499999,20
SBICARD,634.95,115.38939383499999,20
BALRAMCHIN,661.05,114.89907348,20
URBANCO,174.21,114.87628398,20
AUROPHARMA,1700.0,113.90698325,20
MANAPPURAM,319.3,113.8655511,20
GLAND,2916.6,113.67863892000001,20
PWL,136.35,113.286442243,20
BAJAJFINSV,1823.4,113.07309215000001,20
FCL,57.39,112.99232467499999,20
SAILIFE,1600.5,112.337884565,20
FORCEMOT,17275.0,110.531857,20
SIEMENS,3858.0,109.9428389,20
BIOCON,390.0,109.66845861499999,20
OIL,467.0,109.4273504025,20
RBLBANK,423.2,108.3528359,20
SHIPROCKET,126.19,107.64937653300001,20
NMDC,80.2,106.83340877449999,20
GLENMARK,2461.4,106.69603075,20
PREMIERENE,907.2,106.43042653500001,20
SHILPAMED,1033.15,106.2202545625,20
LTF,304.9,105.58845056499999,20
ICICIGI,1480.0,105.222841895,20
ICICIAMC,3151.2,105.000360335,20
GAIL,171.84,104.150031211,20
TATACONSUM,984.1,103.7210373,20
AUGMONT,853.35,103.613886285,17
IDBI,82.88,103.39246065500001,20
ASTRAL,1381.6,102.854529645,20
VOGL,35.01,102.2551061725,20
INDHOTEL,736.25,101.257426375,20
GODREJCP,873.6,101.11022365,20
UPL,559.9,100.6130554125,20
JSWENERGY,518.0,99.69368044999999,20
GRAPHITE,827.75,99.5223596125,20
NEULANDLAB,22550.0,99.36483375,20
MRPL,164.44,99.1502115465,20
ANANTRAJ,610.1,98.89966303,20
AUBANK,1036.4,98.48875345,20
AZAD,2776.2,98.187977255,20
CGCL,267.05,97.966692584,20
GRANULES,864.05,96.483359795,20
LIQUID1,1123.66,96.35721323499999,20
PNBHOUSING,1125.6,96.08928437,20
IOC,137.8,95.38024841949999,20
GMRAIRPORT,98.35,95.379299283,20
IOLCP,200.39,95.0704159875,20
AEGISLOG,1424.5,95.00018553000001,20
RADICO,4448.8,93.1241516,20
JYOTICNC,1084.3,92.37692247500001,20
PIDILITIND,1572.7,90.84954465,20
ENRIN,3235.0,90.27653452499999,20
NAVINFLUOR,8438.0,89.6515968,20
ABCAPITAL,397.0,89.632106325,20
AVALON,2468.5,89.54709478500001,20
RAIN,219.54,89.0305910305,20
VOLTAS,1100.8,88.802591,20
MANIPALHOS,746.1,88.34506449,20
MPHASIS,2265.0,88.33086212,20
MANKIND,2480.0,87.350244895,20
INDIANB,840.8,86.94671867,20
CAMS,704.0,86.5711572025,20
SKYWAYS,130.32,86.532103441,16
JSWINFRA,367.6,86.32983914,20
TBZ,665.35,86.19200456249999,20
GRSE,2399.7,85.50647119499999,20
KIRLOSENG,2165.0,84.681206645,20
CARTRADE,2907.9,84.52786581000001,20
ACUTAAS,3213.7,83.800360875,20
AMBER,7000.0,83.48076345,20
EXIDEIND,429.7,83.003220755,20
VMM,104.03,82.22770525499999,20
HAVELLS,1088.9,81.79151570500001,20
JINDALSTEL,1141.0,81.51961066000001,20
TATSILV,22.36,81.17116764600001,20
VIYASH,251.5,81.0870700575,20
MFSL,1554.2,80.95935834000001,20
ANTHEM,891.7,80.5735881,20
DELHIVERY,430.75,80.412390745,20
CPPLUS,3649.5,79.76225912500001,20
BLUESTARCO,1525.0,79.7086224,20
RVNL,211.15,79.5089671865,20
BALKRISIND,2216.9,78.73589730500001,20
BODALCHEM,192.9,78.595383016,17
PRESTIGE,1479.6,77.93576892,20
NHPC,76.01,77.904035225,20
INOXWIND,77.9,76.818568981,20
PIRAMALFIN,2206.7,76.74608112,20
ASTERDM,750.7,76.522096925,20
BEML,2096.8,75.285883465,20
UNITDSPR,1398.0,75.00084075000001,20
XTRANET,334.36,74.50648877399999,20
SILVERIETF,230.18,74.18119099500001,20
GOLDIETF,129.42,73.749374435,20
FORTIS,896.55,73.3245753475,20
ENGINERSIN,302.55,72.438559115,20
SAGILITY,45.61,72.28227713000001,20
SETFGOLD,128.91,72.14192161,20
JSL,743.45,71.519563605,20
DABUR,388.1,71.4131836,20
MANINDS,849.9,71.3919329575,20
OBEROIRLTY,1845.6,71.264364785,20
SAMMAANCAP,142.36,70.76213978300001,20
PTCIL,22130.0,70.659463,20
HBLENGINE,767.15,70.637756405,20
PATANJALI,404.0,70.56596495,20
MOTILALOFS,1007.0,70.501040335,20
UNOMINDA,1226.0,69.97769575000001,20
WELSPUNLIV,221.51,69.969672231,20
PHOENIXLTD,1953.4,69.86423496,20
JINDWORLD,52.22,68.948562142,20
ALKEM,5331.5,68.5912443,20
LGEINDIA,1663.7,68.53667127,20
TATATECH,715.55,68.47953763749999,20
360ONE,1073.5,67.51857547,20
BELRISE,244.74,66.9873259005,20
CROMPTON,222.0,66.444924065,20
KTKBANK,331.5,65.81991354,20
M&MFIN,352.4,65.13916170499999,20
DEEPA,188.43,65.06285786800001,11
PPLPHARMA,210.12,64.736607831,20
BANKINDIA,137.01,64.407234101,20
HDFCSILVER,220.07,64.038948393,20
SHREEJISPG,719.35,63.605029,20
JINDALSAW,286.45,63.2331994125,20
SHADOWFAX,283.05,63.07814508,20
IRFC,80.0,62.4222827075,20
CRAFTSMAN,10602.0,62.3229621,20
TATAELXSI,3220.0,62.1994454,20
EBGNG,692.3,62.008133935000004,20
KPITTECH,529.05,61.954500555,20
UJJIVANSFB,64.74,61.84175706900001,20
BLUESTONE,930.4,61.76627995,20
INOXINDIA,2133.7,61.734851,20
SKYGOLD,802.55,61.677567874999994,20
VISL,32.21,61.341791786,20
LLOYDSME,1857.4,60.90046253,20
PVRINOX,1334.8,60.288143409999996,20
LEAPIND,148.44,60.229704444000006,20
TECHNOCRAF,457.5,59.96095358,20
ICICIPRULI,486.65,59.907562935,20
SANSERA,4586.5,59.549687094999996,20
AEROFLEX,516.7,58.79951361500001,20
SKIPPER,561.55,58.72395272749999,20
FLUOROCHEM,4487.2,58.348884139999996,20
COLPAL,1869.0,58.15162225,20
EMAMILTD,390.0,57.511882095000004,20
EPL,236.65,56.7154279775,20
MARKSANS,332.95,56.48494619,20
ACMESOLAR,458.65,56.4605958,20
PAGEIND,37150.0,55.881820000000005,20
GENUSPOWER,309.45,55.8251899,20
BALUFORGE,505.25,55.36322627,20
SUPREMEIND,3460.5,54.291664749999995,20
KWIL,41.99,53.78783741,20
KISSHT,352.55,53.512138809999996,20
KFINTECH,898.0,53.367696945,20
SRF,2538.3,53.04236655,20
HCC,21.67,52.828756872,20
WHEELS,2174.0,52.807704655,20
SBIFUNDS,546.0,52.735873530000006,20
AEGISVOPAK,301.4,52.422921460000005,20
BAJAJHIND,20.29,51.681749993,20
LIQUIDADD,1145.78,51.034109776,20
KIRIINDUS,540.5,50.871492665000005,20
CYIENTDLM,917.2,50.46205678,20
THERMAX,3472.2,49.569637334999996,20
LIQUIDPLUS,1104.21,49.474852209000005,20
GMMPFAUDLR,1462.3,49.40376629000001,20
AMBUJACEM,386.9,49.159047535,20
USHAMART,531.3,48.719634515,20
AEQUS,242.87,48.464481194,20
KARURVYSYA,320.15,48.190308027499995,20
CUB,227.21,48.140264437,20
ZENTEC,1673.8,47.6522258,20
QPOWER,1491.6,47.50860911499999,20
TIINDIA,2574.0,47.481319920000004,20
DEEPAKNTR,1613.2,47.44638465,20
BAJAJHLDNG,11185.0,47.150227799999996,20
GCSL,639.2,46.8622086125,20
EMMVEE,339.75,46.7480473725,20
CONCOR,467.0,46.7338319425,20
SMLMAH,6719.5,46.717256725,20
SHANKESH,91.09,46.6196360255,20
CYIENT,1079.0,46.34348595,20
PGEL,520.2,46.1156914225,20
RKFORGE,716.25,45.50556471,20
RUBICON,1671.2,45.248243190000004,20
BLEL,469.05,45.20361162,20
BAJAJCON,513.75,44.9792852025,20
SHAILY,3168.8,44.05321609000001,20
NORTHARC,315.9,43.84080714,20
PARAGMILK,279.4,43.668249599999996,20
HDFCGOLD,129.26,43.571601250499995,20
TEGA,2069.0,43.41305593999999,20
TIMETECHNO,180.59,43.3056995525,20
PIIND,2410.0,43.28786268,20
SCI,281.1,42.9286161375,20
NUVAMA,1675.7,42.57701786,20
PARADEEP,154.17,42.504818308,20
JUBLFOOD,491.1,42.4316072,20
TATACOMM,1692.4,41.950509960000005,20
WELENT,783.75,41.9371370975,20
PETRONET,281.75,41.70680016,20
NAZARA,370.45,41.33381954,20
GUJENERGY,230.4,41.2727003415,20
NBCC,81.9,41.004283271999995,20
THANGAMAYL,5119.5,40.8998414,20
SSWL,364.8,40.810956974999996,20
ZENSARTECH,432.6,40.7998880075,20
SETL,402.55,40.6629700275,20
BALAMINES,2138.9,39.99195845,20
SBC,49.23,39.955788405,20
TATACHEM,674.0,39.640908675,20
ANANDRATHI,2179.0,39.56012795,20
VINCOFE,174.2,39.2668553705,20
TITAGARH,834.85,39.06043287,20
RENUKA,22.82,39.0146100155,20
LIQUIDIETF,999.99,38.925360742500004,20
