symbol,close,med_turnover_cr,days
HDFCBANK,737.25,2224.75022555,20
BSE,3270.7,1326.84982523,20
RELIANCE,1248.0,1297.11543988,20
ICICIBANK,1340.0,1221.02614812,20
IFCI,79.49,908.4687395290001,20
INFY,1020.5,802.08056267,20
BHARTIARTL,1833.2,785.4554562,20
ATHERENERG,1499.4,745.351624125,20
SBIN,994.1,711.81889185,20
PINELABS,188.3,674.3096287675,20
ETERNAL,342.65,670.085090815,20
NETWEB,4736.0,599.99213107,20
TCS,2089.6,592.7846814,20
MCX,3374.0,591.79437018,20
M&M,3035.0,579.2063889,20
TATASTEEL,190.82,563.6130809985,20
BAJFINANCE,1043.2,559.79888155,20
AXISBANK,1243.2,557.8775854999999,20
PAYTM,1775.0,522.57503645,20
LT,3929.9,504.350757,20
SWIGGY,278.5,479.43992044,20
DIVISLAB,9624.0,464.23789855,20
LENSKART,686.7,456.73062537749996,20
WELCORP,2796.8,452.327978455,20
KOTAKBANK,413.25,451.4897638,20
DIXON,13200.0,446.94421625,20
GROWW,188.63,446.66203203599997,20
MARUTI,12230.0,438.7102465,20
HINDCOPPER,513.0,420.66080672499993,20
ESDS,1770.7,419.727620195,14
LAURUSLABS,2034.0,417.084904215,20
DHOOTTRANS,1615.4,415.86851951999995,20
KALYANKJIL,584.25,407.97383225499993,20
SHRIRAMFIN,1010.8,403.01382094999997,20
RAYMOND,1114.65,399.9671152725,20
ADANIENT,2993.2,393.32590188000006,20
COFORGE,1782.4,391.597234115,20
SOLARINDS,19730.0,386.4435045,20
MVELECTRO,871.6,380.444370895,20
SILVERBEES,220.26,370.34835673,20
MEESHO,236.37,366.710998146,20
BEL,396.05,345.851721435,20
ADANIPOWER,204.8,334.2250824625,20
ITC,270.15,334.034641335,20
KAYNES,3458.0,333.2391578,20
HINDALCO,1003.8,326.55964587,20
HAL,4836.0,323.16500814000005,20
ADANIPORTS,1807.3,322.97899828999994,20
APOLLO,404.6,317.5783163175,20
KEI,4722.5,315.0369617,20
HCLTECH,1256.7,313.40080942,20
EICHERMOT,7470.0,307.2899808,20
MILKYMIST,317.25,306.572939325,20
COALINDIA,424.55,306.0719432625,20
SAIL,185.44,302.89134516,20
CUPID,273.85,301.960314951,20
LIQUIDBEES,1000.0,300.7385186575,20
VAML,436.3,295.6250461275,20
INDIGO,5028.5,292.82798375000004,20
POLYCAB,8417.0,287.84280315,20
TMCV,450.2,287.39094445499995,20
GVT&D,4417.0,286.92150796,20
TECHM,1557.0,286.29851410000003,20
GOLDBEES,124.73,281.18643008000004,20
LICI,407.5,279.29028927499996,20
HEROMOTOCO,5394.0,276.42477185,20
ULTRACEMCO,11155.0,276.24546035000003,20
HINDZINC,595.45,275.06874371000004,20
GRASIM,3188.5,272.30307655,20
BHEL,423.1,270.22884371,20
POWERINDIA,31150.0,268.55561750000004,20
PFC,346.0,260.27859799,20
